Provincia,Cantón,Total,Hombres,Mujeres
Azuay,Cuenca,596101,281823,281823
Azuay,Girón,12182,5532,5532
Azuay,Gualaceo,43188,19421,19421
Azuay,Nabón,14776,6729,6729
Azuay,Paute,26782,12201,12201
Azuay,Pucará,9693,4604,4604
Azuay,San Fernando,3738,1656,1656
Azuay,Santa Isabel,20753,9914,9914
Azuay,Sígsig,24992,11016,11016
Azuay,Oña,3422,1575,1575
Azuay,Chordeleg,12197,5494,5494
Azuay,El Pan,2776,1280,1280
Azuay,Sevilla de Oro,4613,2167,2167
Azuay,Guachapala,3586,1714,1714
Azuay,Camilo Ponce Enríquez,22810,11293,11293
Bolívar,Total Bolívar,199078,95873,95873
Bolívar,Guaranda,98130,46659,46659
Bolívar,Chillanes,19802,9844,9844
Bolívar,Chimbo,15524,7438,7438
Bolívar,Echeandía,14654,7197,7197
Bolívar,San Miguel,28349,13655,13655
Bolívar,Caluma,15607,7570,7570
Bolívar,Las Naves,7012,3510,3510
Cañar,Total Cañar,227578,104994,104994
Cañar,Azogues,74515,34120,34120
Cañar,Biblián,18852,8286,8286
Cañar,Cañar,52150,23809,23809
Cañar,La Troncal,62103,29791,29791
Cañar,El Tambo,9285,4250,4250
Cañar,Déleg,6046,2700,2700
Cañar,Suscal,4627,2038,2038
Carchi,Total Carchi,172828,84553,84553
Carchi,Tulcán,92375,44900,44900
Carchi,Bolívar,15677,7823,7823
Carchi,Espejo,14522,7138,7138
Carchi,Mira,12727,6328,6328
Carchi,Montúfar,29590,14427,14427
Carchi,San Pedro de Huaca,7937,3937,3937
Cotopaxi,Total Cotopaxi,470210,227616,227616
Cotopaxi,Latacunga,217261,106010,106010
Cotopaxi,La Maná,53793,26389,26389
Cotopaxi,Pangua,21867,10926,10926
Cotopaxi,Pujilí,66980,31579,31579
Cotopaxi,Salcedo,67493,32200,32200
Cotopaxi,Saquisilí,24356,11498,11498
Cotopaxi,Sigchos,18460,9014,9014
Chimborazo,Total Chimborazo,471933,223460,223460
Chimborazo,Riobamba,260882,123488,123488
Chimborazo,Alausí,37275,17575,17575
Chimborazo,Colta,30468,14425,14425
Chimborazo,Chambo,13431,6367,6367
Chimborazo,Chunchi,10635,4935,4935
Chimborazo,Guamote,35769,17007,17007
Chimborazo,Guano,48327,22811,22811
Chimborazo,Pallatanga,11796,5677,5677
Chimborazo,Penipe,6748,3202,3202
Chimborazo,Cumandá,16602,7973,7973
El Oro,Total El Oro,714592,353211,353211
El Oro,Machala,306309,150682,150682
El Oro,Arenillas,32366,16041,16041
El Oro,Atahualpa,6112,3117,3117
El Oro,Balsas,7875,4058,4058
El Oro,Chilla,2251,1105,1105
