fecha_div,fecha_mat,mcap_bie,dur_mat,cau_div,sexo_1,edad_1,hijos_1,prov_hab1,cant_hab1,parr_hab1,area_1,sexo_2,edad_2,hijos_2,prov_hab2,cant_hab2,parr_hab2,area_2
2023-01-04,1999-09-17,No,23,Por mutuo consentimiento vía notarial, Hombre,53,0,Guayas,Durán,"Eloy Alfaro (Durán), cabecera cantonal",Urbana, Mujer,49,0,Guayas,Guayaquil,"Guayaquil, cabecera cantonal y capital provincial",Urbana
2023-01-07,2021-02-02,No,1,Por mutuo consentimiento vía notarial, Hombre,22,0,Guayas,Guayaquil,Tarqui,Urbana, Hombre,25,0,Guayas,Guayaquil,Ximena,Urbana
2023-01-19,2012-08-03,No,10,Por mutuo consentimiento vía judicial, Hombre,32,0,Chimborazo,Riobamba,Maldonado,Urbana, Mujer,32,2,Chimborazo,Riobamba,Maldonado,Urbana
2023-04-28,2010-03-26,No,13,Por mutuo consentimiento vía notarial, Hombre,34,0,Chimborazo,Riobamba,Maldonado,Urbana, Mujer,37,2,Chimborazo,Riobamba,Velasco,Urbana
2023-04-28,2004-08-08,No,18,El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos, Hombre,38,0,Chimborazo,Riobamba,"Riobamba, cabecera cantonal y capital provincial",Urbana, Mujer,35,1,Chimborazo,Guano,San Andrés,Rural
2023-01-04,1990-03-17,No,32,Por mutuo consentimiento vía notarial, Hombre,60,0,Guayas,Guayaquil,Ximena,Urbana, Mujer,47,0,Guayas,Guayaquil,Ximena,Urbana
2023-01-05,1991-11-25,No,31,Por mutuo consentimiento vía notarial, Hombre,58,0,Guayas,Guayaquil,"Guayaquil, cabecera cantonal y capital provincial",Urbana, Mujer,51,0,Guayas,Guayaquil,"Guayaquil, cabecera cantonal y capital provincial",Urbana
2023-01-06,1990-02-16,No,32,Por mutuo consentimiento vía judicial, Hombre,55,0,Guayas,Guayaquil,Tarqui,Urbana, Mujer,52,0,Guayas,Guayaquil,Tarqui,Urbana
2023-01-11,2018-02-27,No,4,Por mutuo consentimiento vía notarial, Hombre,36,0,Guayas,Guayaquil,Ximena,Urbana, Mujer,33,1,Guayas,Guayaquil,Ximena,Urbana
2023-01-01,1995-09-13,No,27,Por mutuo consentimiento vía notarial, Hombre,54,0,Guayas,Guayaquil,Ximena,Urbana, Mujer,42,0,Guayas,Guayaquil,Ximena,Urbana
2023-01-05,2005-12-16,No,17,Por mutuo consentimiento vía notarial, Hombre,60,0,Guayas,Guayaquil,Ximena,Urbana, Mujer,54,0,Guayas,Guayaquil,Ximena,Urbana
2023-01-05,1988-05-10,No,34,Por mutuo consentimiento vía notarial, Hombre,60,0,Guayas,Guayaquil,Ximena,Urbana, Mujer,60,0,Guayas,Guayaquil,Ximena,Urbana
2023-01-04,2022-06-03,No,0,Por mutuo consentimiento vía notarial, Hombre,31,0,Guayas,Guayaquil,Tarqui,Urbana, Mujer,31,1,Guayas,Guayaquil,Tarqui,Urbana
2023-01-10,1997-08-21,No,25,Por mutuo consentimiento vía notarial, Hombre,57,0,Guayas,Guayaquil,Ximena,Urbana, Mujer,54,0,Guayas,Guayaquil,Ximena,Urbana
