prov_hab1,hDivor,mDivor,totalDivorcios
azuay,1491,1628,3119
bolivar,261,263,524
carchi,292,274,566
cañar,457,551,1008
chimborazo,670,682,1352
cotopaxi,498,503,1001
el oro,1181,1179,2360
esmeraldas,382,373,755
exterior,836,593,1429
galapagos,161,153,314
guayas,5242,5239,10481
imbabura,961,973,1934
loja,727,732,1459
los rios,463,476,939
manabi,1507,1518,3025
morona santiago,319,322,641
napo,149,145,294
orellana,206,193,399
pastaza,213,209,422
pichincha,5656,5685,11341
santa elena,345,340,685
santo domingo de los tsachilas,665,653,1318
sucumbios,240,240,480
tungurahua,529,520,1049
zamora chinchipe,109,108,217
